,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
124,Banda Aceh,ID,79.81,broken clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
125,Thompson,CA,77.0,broken clouds,55.74,-97.86,Burntwood Hotel
126,Alofi,NU,75.2,broken clouds,-19.06,-169.92,Taloa Heights
127,San Andres,CO,86.0,overcast clouds,12.58,-81.7,Hotel Arena Blanca
128,Cherskiy,RU,67.71,broken clouds,68.75,161.3,Gostinitsa
130,Northam,GB,60.01,overcast clouds,51.03,-4.22,Durrant House Hotel
132,Pangai,TO,73.4,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
133,Torbay,CA,63.0,few clouds,47.67,-52.73,Gallows Cove
134,Phan Thiet,VN,75.65,overcast clouds,10.93,108.1,Hotel Saigon-PT
135,Sao Felix Do Xingu,BR,82.09,broken clouds,-6.64,-51.99,Apart Hotel Rio Xingu
138,Nyurba,RU,57.88,scattered clouds,63.28,118.33,Gostinitsa Alrosa
139,Burns Lake,CA,66.76,overcast clouds,54.23,-125.75,Burns Lake Bed and Breakfast
140,Belmonte,BR,75.2,few clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
141,Isangel,VU,64.4,broken clouds,-19.55,169.27,Volcano Sea View Tree House
144,Barabinsk,RU,64.22,broken clouds,55.36,78.36,"Gostinitsa ""Noy"""
145,Quang Ngai,VN,76.6,overcast clouds,15.12,108.8,Central Hotel
147,Yenagoa,NG,75.0,overcast clouds,4.92,6.26,Amba Hotels Limited
148,Marzuq,YE,84.6,broken clouds,14.4,46.47,
149,Foam Lake,CA,69.1,scattered clouds,51.65,-103.53,Foam Lake Campground
153,Saint-Philippe,RE,68.0,broken clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
154,Haines Junction,CA,63.09,scattered clouds,60.75,-137.51,Parkside Inn
155,Erenhot,CN,74.35,overcast clouds,43.65,111.98,Erenhot Rurouni Youth Hostel
156,Coquimbo,CL,59.0,clear sky,-29.95,-71.34,Hotel San Juan
157,Porto Tolle,IT,73.0,clear sky,44.95,12.32,Klaus sas di Boscolo Claudio & c.
160,Nsanje,MW,68.38,overcast clouds,-16.92,35.26,Nsanje Discovery Lodge
161,Bulungu,CD,77.34,clear sky,-4.55,18.6,
162,Mayor Pablo Lagerenza,PY,57.09,overcast clouds,-19.93,-60.77,
163,Loandjili,CG,73.4,broken clouds,-4.76,11.86,Résidence ARCHANGE
164,Shetpe,KZ,82.89,clear sky,44.17,52.12,Rtsm Shetpe Analog
165,Kalmar,SE,57.0,broken clouds,56.66,16.36,First Hotel Witt
169,Los Llanos De Aridane,ES,81.0,few clouds,28.66,-17.92,Valle Aridane
170,Zhanakorgan,KZ,78.46,clear sky,43.91,67.25,"""Ақпалас"" қонақ үйі"
173,Kon Tum,VN,69.48,overcast clouds,14.35,108.0,Hoa đà spa- homestay
179,Hithadhoo,MV,84.69,few clouds,-0.6,73.08,Scoop Guest House
180,Celestun,MX,88.79,clear sky,20.87,-90.4,Posada Lilia
181,Port Elizabeth,ZA,59.0,clear sky,-33.92,25.57,39 On Nile Guest House
183,Bandarbeyla,SO,79.95,few clouds,9.49,50.81,REER XOOSHLE GROUP
185,Mikuni,JP,71.6,light intensity shower rain,36.22,136.15,Haiya
186,Mato Verde,BR,78.78,clear sky,-15.4,-42.87,Quality Hotel
187,Namibe,AO,65.8,clear sky,-15.2,12.15,Hotel Chik Chik Namibe
188,Gull Lake,CA,57.2,light rain,50.1,-108.48,Campbell's Accommodations
189,Inhambane,MZ,68.0,few clouds,-23.86,35.38,Oceano
193,Bilibino,RU,63.14,broken clouds,68.05,166.44,Gostinitsa Severyanka
194,Eslov,SE,57.0,light rain,55.84,13.3,Stensson
196,Bantry,IE,59.0,light intensity drizzle,51.68,-9.45,The Maritime Hotel
197,Audru,EE,55.0,clear sky,58.41,24.37,Valgeranna Puhkekeskus
198,Mareeba,AU,69.8,broken clouds,-17.0,145.43,Trinity Plains Tourist Park
199,Avera,US,86.0,overcast clouds,33.19,-82.53,
201,Cockburn Town,TC,84.18,clear sky,21.46,-71.14,Osprey Beach Hotel
202,Muli,MV,83.77,broken clouds,2.92,73.57,Medhufushi Island Resort
203,Malanville,BJ,82.62,broken clouds,11.87,3.39,DEVO HOTEL
206,Ponta Do Sol,PT,71.01,clear sky,32.67,-17.1,Hotel do Campo
