,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
539,Brookhaven,US,79.0,overcast clouds,31.58,-90.44,Americas Best Value Inn Brookhaven
540,Batticaloa,LK,81.1,overcast clouds,7.71,81.69,Grand Star Guest House
542,Timmins,CA,86.0,scattered clouds,48.47,-81.33,The Senator Hotel & Conference Centre
543,Balagunan,PH,73.69,overcast clouds,7.49,125.52,
545,Katobu,ID,73.96,broken clouds,-4.94,122.53,La Ode Husein
547,Cape Canaveral,US,80.6,clear sky,28.41,-80.6,Residence Inn by Marriott Cape Canaveral Cocoa Beach
552,Chapais,CA,77.0,moderate rain,49.78,-74.85,Hôtel Opémiska
553,Ndola,ZM,56.19,clear sky,-12.96,28.64,Chabanga Lodge iSpot
554,Fethiye,TR,69.8,few clouds,36.62,29.12,Club & Hotel Letoonia
555,Berndorf,AT,66.99,few clouds,47.95,16.11,Hotel Kaiservilla
556,Nantucket,US,71.6,clear sky,41.28,-70.1,Jared Coffin House
557,Halifax,CA,62.01,overcast clouds,44.65,-63.57,Hotel Halifax
558,Kysyl-Syr,RU,58.62,few clouds,63.9,122.76,
